id_deputado,nome,salario_mandato
165470,Rodrigo Valadares,1809065.5699999998
220695,Rogéria Santos,1809065.5699999998
204480,Rogério Correia,1809065.5699999998
160629,Romero Rodrigues,1809065.5699999998
204525,Rosana Valle,1809065.5699999998
220644,Rosangela Moro,1809065.5699999998
220620,Rosângela Reis,1809065.5699999998
74371,Rubens Otoni,1809065.5699999998
178887,Rubens Pereira Júnior,1809065.5699999998
73604,Rui Falcão,1809065.5699999998
160635,Ruy Carneiro,1809065.5699999998
204535,Sâmia Bomfim,1809065.5699999998
220631,Samuel Viana,1809065.5699999998
204416,Sanderson,1809065.5699999998
204387,Sargento Fahur,1809065.5699999998
220621,Sargento Gonçalves,1809065.5699999998
220618,Sargento Portugal,1809065.5699999998
226837,Saulo Pedroso,1809065.5699999998
73808,Sérgio Brito,1809065.5699999998
77003,Sergio Santos Rodrigues,1809065.5699999998
178933,Sergio Souza,1809065.5699999998
204557,Sidney Leite,1809065.5699999998
74356,Silas Câmara,1809065.5699999998
204360,Silvia Cristina,1809065.5699999998
227310,Silvio Antonio,1809065.5699999998
220569,Silvye Alves,1809065.5699999998
220651,Simone Marquetto,1809065.5699999998
104552,Socorro Neri,1809065.5699999998
222565,Soldado Noelio,1809065.5699999998
178946,Soraya Santos,1809065.5699999998
178947,Sóstenes Cavalcante,1809065.5699999998
92776,Stefano Aguiar,1809065.5699999998
204534,Tabata Amaral,1809065.5699999998
220682,Tadeu Veneri,1809065.5699999998
204464,Talíria Petrone,1809065.5699999998
220598,Tarcísio Motta,1809065.5699999998
220560,Thiago de Joaldo,1809065.5699999998
220597,Thiago Flores,1809065.5699999998
143084,Tiago Dimas,1809065.5699999998
220684,Tião Medeiros,1809065.5699999998
160976,Tiririca,1809065.5699999998
178934,Toninho Wandscheer,1809065.5699999998
157130,Túlio Gadêlha,1809065.5699999998
160610,Valmir Assunção,1809065.5699999998
74376,Vander Loubet,1809065.5699999998
234673,Vanderlan Alves,1809065.5699999998
204396,Vermelho,1809065.5699999998
74283,Vicentinho,1809065.5699999998
137070,Vicentinho Júnior,1809065.5699999998
141555,Vinicius Carvalho,1809065.5699999998
160591,Vinicius Gurgel,1809065.5699999998
178992,Vitor Lippi,1809065.5699999998
91228,Waldemar Oliveira,1809065.5699999998
160569,Waldenor Pereira,1809065.5699999998
160518,Weliton Prado,1809065.5699999998
74043,Wellington Roberto,1809065.5699999998
224333,Welter,1809065.5699999998
74044,Wilson Santiago,1809065.5699999998
220564,Yandra Moura,1809065.5699999998
230768,Zé Adriano,1809065.5699999998
220536,Zé Haroldo Cathedral,1809065.5699999998
204559,Zé Neto,1809065.5699999998
160632,Zé Silva,1809065.5699999998
220558,Zé Trovão,1809065.5699999998
204517,Zé Vitor,1809065.5699999998
160592,Zeca Dirceu,1809065.5699999998
220592,Zezinho Barbary,1809065.5699999998
220552,Zucco,1809065.5699999998
